project,rBug@1,rrBug@1,tBug@1,rBug@3,rrBug@3,tBug@3,rBug@5,rrBug@5,tBug@5,rBug@10,rrBug@10,tBug@10,rBug@20,rrBug@20,tBug@20,rFirstHit,rrFirstHit,tFirstHit
performance-368-166-bug米信V4.1.6测试_1470654360+150.csv,0,0,0,0.5,0.5,0,1,1,0,1,1,1,1,1,1,2,2,7
performance-368-166-bug米信V4.1.6测试_1470654360+21.csv,0.055555556,0.055555556,0,0.111111111,0.055555556,0.111111111,0.111111111,0.111111111,0.111111111,0.166666667,0.166666667,0.166666667,0.277777778,0.277777778,0.222222222,1,1,2
performance-368-166-bug米信V4.1.6测试_1470654360+32.csv,0.066666667,0,0,0.133333333,0.133333333,0,0.133333333,0.133333333,0,0.2,0.2,0.133333333,0.4,0.333333333,0.2,1,2,6
performance-368-166-bug米信V4.1.6测试_1470654360+49.csv,0,0,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0.166666667,0.25,0.25,0.25,3,3,7
performance-368-166-bug米信V4.1.6测试_1470654360+5.csv,0.047619048,0,0,0.095238095,0.047619048,0.047619048,0.142857143,0.095238095,0.047619048,0.19047619,0.142857143,0.095238095,0.238095238,0.238095238,0.238095238,1,3,2
performance-368-166-bug米信V4.1.6测试_1470654360+67.csv,0,0,0,0.111111111,0.111111111,0,0.111111111,0.111111111,0,0.111111111,0.111111111,0,0.222222222,0.222222222,0.111111111,3,3,14
performance-368-166-bug米信V4.1.6测试_1470654360+86.csv,0,0,0,0.125,0,0,0.125,0,0.125,0.125,0.125,0.125,0.25,0.25,0.125,3,7,5
performance-368-166-bug米信V4.1.6测试_1470654360+96.csv,0,0,0,0.142857143,0,0,0.142857143,0,0,0.142857143,0,0,0.142857143,0.285714286,0.285714286,3,13,13
performance-369-297-bug德升4567V1.4.7测试_1470654363+107.csv,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.2,5,5,5
performance-369-297-bug德升4567V1.4.7测试_1470654363+117.csv,0,0,0,0,0,0,0.111111111,0.111111111,0,0.222222222,0.111111111,0.111111111,0.333333333,0.222222222,0.222222222,5,5,6
performance-369-297-bug德升4567V1.4.7测试_1470654363+128.csv,0,0,0,0,0,0,0.125,0.125,0,0.25,0.125,0.125,0.375,0.25,0.125,5,5,9
performance-369-297-bug德升4567V1.4.7测试_1470654363+14.csv,0.034482759,0.034482759,0.034482759,0.068965517,0.068965517,0.103448276,0.137931034,0.137931034,0.137931034,0.275862069,0.275862069,0.172413793,0.344827586,0.344827586,0.24137931,1,1,1
performance-369-297-bug德升4567V1.4.7测试_1470654363+142.csv,0,0,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0.285714286,0.285714286,0.142857143,4,5,11
performance-369-297-bug德升4567V1.4.7测试_1470654363+158.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.333333333,17,19,14
performance-369-297-bug德升4567V1.4.7测试_1470654363+180.csv,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0.25,17,19,5
performance-369-297-bug德升4567V1.4.7测试_1470654363+190.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,17,19,16
performance-369-297-bug德升4567V1.4.7测试_1470654363+211.csv,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,14,16,27
performance-369-297-bug德升4567V1.4.7测试_1470654363+243.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,42
performance-369-297-bug德升4567V1.4.7测试_1470654363+26.csv,0.041666667,0.041666667,0,0.041666667,0.041666667,0,0.083333333,0.083333333,0,0.208333333,0.208333333,0.125,0.291666667,0.291666667,0.25,1,1,7
performance-369-297-bug德升4567V1.4.7测试_1470654363+42.csv,0.05,0.05,0,0.05,0.05,0.1,0.05,0.05,0.15,0.2,0.2,0.2,0.25,0.25,0.3,1,1,2
performance-369-297-bug德升4567V1.4.7测试_1470654363+57.csv,0.0625,0.0625,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.1875,0.1875,0.1875,0.25,1,1,3
performance-369-297-bug德升4567V1.4.7测试_1470654363+69.csv,0.076923077,0.076923077,0,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.230769231,0.230769231,0.076923077,1,1,2
